popularity,genres,sub-genres,explicit,followers,danceability,energy,key,loudness,mode,instrumentalness,liveness,tempo,duration_ms,time_signature,mood
78,30,26,0,112123235,0.47,0.203,4,-8.676,1,0,0,153.578,185731,3,0
76,20,8,0,1589834,0.427,0.689,9,-4.35,1,0,0,178.077,276083,4,1
82,21,11,0,3165283,0.757,0.898,11,-1.247,0,0,0,114.949,197040,4,1
84,14,27,1,5904499,0.641,0.803,6,-5.781,0,0,0,121.086,158004,4,1
87,7,2,0,65034686,0.582,0.525,1,-7.163,0,0,0,133.249,260253,4,1
92,33,24,1,69334291,0.911,0.712,1,-5.105,0,0,0,92.005,178567,4,0
83,14,27,0,5904499,0.624,0.766,8,-3.805,1,0,0,172.08,181621,4,0
92,21,11,0,3387802,0.804,0.771,9,-4.067,0,0,0,126.956,212253,4,1
88,11,14,0,1444034,0.369,0.192,4,-12.151,0,0,0,175.212,228013,3,0
92,7,2,0,65034686,0.514,0.73,1,-5.934,1,0,0,171.005,200040,4,0
87,5,27,1,4553375,0.591,0.764,1,-5.484,1,0,0,169.928,141806,4,0
75,31,27,0,5004250,0.593,0.294,1,-10.072,0,0,0,113.847,188907,4,0
95,12,19,1,5302437,0.859,0.658,11,-4.79,1,0,0,100.065,195987,4,1
82,4,6,1,13896500,0.883,0.657,8,-5.748,1,0,0,124.992,172933,4,0
90,13,6,1,20154942,0.69,0.521,10,-8.492,0,0,0,100.028,292799,4,0
80,3,7,0,963299,0.436,0.951,7,-4.748,0,0,0,169.955,223320,4,0
90,32,23,1,4312756,0.571,0.549,1,-7.38,0,0,0,119.497,194787,4,0
92,27,25,1,565129,0.954,0.516,6,-5.817,1,0,0,105.001,139560,4,1
90,24,17,1,15097716,0.486,0.545,11,-7.924,1,0,0,150.187,123891,4,0
88,30,26,0,112123235,0.825,0.652,1,-3.183,0,0,0,95.977,233713,4,1
64,14,27,0,5904499,0.682,0.809,2,-3.755,1,0,0,143.979,181767,4,1
76,13,6,1,24009002,0.716,0.531,7,-7.355,1,0,0,71.994,386907,4,0
93,29,18,0,15581759,0.704,0.797,0,-5.927,1,0,0,139.994,148486,4,1
86,30,20,1,12599639,0.358,0.284,7,-8.285,1,0,0,99.796,180853,3,0
80,14,27,0,5904499,0.488,0.67,2,-5.759,1,0,0,142.139,178704,4,0
71,21,11,0,3387802,0.814,0.641,6,-5.957,0,0,0,133.854,185507,4,0
81,30,20,1,12599639,0.436,0.655,1,-8.37,0,0,0,121.002,279204,4,0
88,15,4,0,3252416,0.537,0.602,7,-4.631,1,0,0,157.437,271862,4,1
91,30,26,0,22558721,0.714,0.472,2,-7.375,1,0,0,131.121,156943,4,0
